B cell	T cell CD4+	T cell CD8+	Neutrophil	Macrophage	Myeloid dendritic cell
A_200	0.11046721012493	0.125678658127692	0.18941712984882	0.116944317620591	0.086493267837121	0.568107336007073
A_201	0.0649320192644712	0.177615774972067	0.179750863712788	0.111279159479734	0	0.472091960022427
A_202	0.0343784124181184	0.178009214407703	0.148134249221143	0.114248399254975	0.0940390532137115	0.497931652244539
A_203	0.0411023808602273	0.0774979794844124	0.127171951014808	0.0920152722527318	0	0.486791557620338
A_204	0.066677719676554	0.148579440981568	0.177738137016237	0.172447944522008	0.131234305270288	0.637211157175836
A_205	0.0745183831286638	0.151838672130506	0.210227755188995	0.139652839811354	0.111352632804147	0.513873877459784
A_206	0.0546960067544	0.141074933843775	0.142849352932954	0.110815957641553	0.0799302284455533	0.474261298276145
A_207	0.146776672616035	0.0887899157672602	0.226667299063835	0.117077728429464	0	0.685870195899331
A_208	0.994621713022407	0.785893054331219	0.728591486623981	0.262893936765271	0.0576477349940447	1.03016571606306
A_209	0.1789550753868	0.108608053167827	0.257103341682321	0.122757635809891	0.0172085820781931	0.576442445648626
A_210	0.0784102444146164	0.130070064369439	0.294518074234098	0.155426013510056	0.0286904627140188	0.542835207366185
A_211	0.0483883430039936	0.116147560177555	0.0947758926453542	0.0998341783355955	0	0.414300305130459
A_212	0.0662086137250516	0.0960226524837862	0.118835793109231	0.080215183983664	0	0.40485187943929
A_213	0.114047749180274	0.111265096486597	0.24461558104339	0.127136505455953	0	0.477046546714936
A_214	0.0766947158184442	0.0909153412911355	0.403891660972262	0.212630615328599	0.0826566132160594	0.771297468499099
A_215	0.0390830338708958	0.116290278939495	0.143383971134098	0.0839015627340056	0	0.378715866719859
A_216	0.0610522525327597	0.0755292695258435	0.149666261914474	0.0963945898094986	0	0.389963092361636
F1_1	0.126316731862788	0.0998582296946172	0.133523196639334	0.109765021945486	0	0.462126440573409
F1_2	0.161253249689381	0.111390061733313	0.177799370118026	0.13174545142673	0.0895939984142844	0.591736774409232
F1_3	0.0941162752204397	0.10586270214901	0.177572008277913	0.132785911585032	0.0201886706943871	0.51821486729775
F1_4	0.0467038536419072	0.0763451927964633	0.125892921441447	0.10651216880392	0	0.36469231353943
F1_5	0.111053548851282	0.238562053816796	0.34750887753982	0.200285882643533	0.183775520876649	0.610217825104831
F1_6	0.152677741559174	0.134141793555327	0.158714749531296	0.194860825128165	0	0.589719365510818
F1_7	0.0543419060563984	0.0938751527580264	0.139077596344891	0.0992097967233647	0	0.428825429801173
F1_8	0.0651422181317098	0.0589785142147224	0.149004963835364	0.0782396998408239	0	0.395683445484512
F1_9	0.131069380274526	0.198424065519377	0.282886545160495	0.134554762780101	0.0146962163348418	0.595337488947119
F1_10	0.0901399438839846	0.0915149145457288	0.15962310663661	0.20097931433546	0	0.428044853843544
F1_11	0.0391279264293984	0.10264288914722	0.136272591347469	0.0856715706049441	0.00902275684292279	0.419302484461572
F1_12	0.0694740151605916	0.0733487567322388	0.132216134774997	0.0918921044639088	0	0.45345622645106
F1_13	0.0485662446747182	0.100150692151719	0.108014466903241	0.1103233313515	0.0296185042564384	0.436318814468038
F1_14	0.0571874834563085	0.106096899818246	0.176744069464039	0.0932798063568732	0.0533053011640343	0.460586089118316
F1_15	0.0577689558363216	0.104623345206574	0.14901298877115	0.0975510176816321	0.00469084555392122	0.415278547894076
F1_16	0.0528780044904004	0.102034344392004	0.157945959915763	0.0992171525394489	0.00290357155245113	0.410925740639808
F1_17	0.0454877892487484	0.0940466226163204	0.172355476434919	0.0846964542466375	0	0.401552019002171
F1_18	0.128860956209703	0.0598119222116328	0.170652651813482	0.111797500150132	0	0.545534320625287
F1_19	0.195477227271697	0.108368665537933	0.19471490742412	0.160292265806222	0	0.534007593020537
F1_20	0.0750408841775635	0.111785059268407	0.119247519118953	0.0897242287791741	0	0.421016547234553
F1_21	0.0551594945821552	0.0913636904898579	0.143583483907481	0.0973440450633973	0.0479639125559055	0.449558222927978
F1_22	0.134620109444365	0.0640967593850404	0.172259705113758	0.0740825451188881	0.128482254617793	0.496583963863791
F1_23	0.058766110863601	0.128301015172684	0.163690564969964	0.096670681981506	0	0.449785231987962
F1_24	0.082530005203828	0.172723271148734	0.221386070865769	0.137913863661878	0.0414392114357084	0.502000557806849
F1_25	0.0630517856962903	0.158163208040377	0.163445320049388	0.110338363350592	0.0399589046110254	0.466508475764031
F1_26	0.0409069949443951	0.0978343129422963	0.147388061262031	0.109442109088951	0.0311359379604827	0.470199701983441
F1_27	0.0718161449739753	0.259231109179893	0.189581289410911	0.162028161707477	0.0936728927999569	0.590725232570844
F1_28	0.0921389665606839	0.149927955527273	0.282732713845071	0.147234224272587	0.0819195492994906	0.560071280471966
F1_29	0.0428808658344118	0.0850638216257639	0.116319014620362	0.0894471923852571	0	0.351100020832559
F1_30	0.0986409880408837	0.207223999300471	0.529925260177464	0.27793566996249	0	0.704881451845059
F1_31	0.0562290744078228	0.0761597956331788	0.170751903680149	0.0918527745626344	0.00460685251865937	0.435079292525696
F1_32	0.0914018115441249	0.0762050570386577	0.196527444111691	0.108703580586382	0.0662853794887574	0.587540791379467
F1_33	0.0532766114648202	0.0929570769904081	0.125247708008236	0.10227108301534	0	0.417030907046171
F1_34	0.0921988658712416	0.110291938198112	0.223448005632086	0.11748155201157	0	0.476055054705942
F1_35	0.00828940277768914	0.130554408328483	0.140307308527838	0.144563698802686	0.003582553951658	0.570851205891942
F1_36	0.0430356927458289	0.103817097556667	0.136652126439441	0.0805003641010719	0	0.375333332000312
F1_37	0.0507715746108176	0.0992036775128557	0.110947924568954	0.0922251955418944	0.00422308795493756	0.402101730067372
F1_38	0.0528931643564755	0.0743593093837376	0.131284857081022	0.0830360877980758	0	0.401097015132416
F1_39	0.0473270282808986	0.117560848699965	0.139704135563341	0.11468606048007	0.115361089679064	0.450516961930235
F1_40	0.213525791803021	0.15028236501338	0.421563124503427	0.172020696855439	0.0459938629877357	0.737629865126106
F1_41	0.0976520614563032	0.129990370867115	0.251196411330261	0.158418065161568	0.0259949302505516	0.588871675205993
F1_42	0.0581360128351269	0.0913581495742207	0.216355223037366	0.113587248690204	0.00770161672145185	0.478481896145129
F1_43	0.0969949731701618	0.0521819098903714	0.228517769140449	0.138179104126013	0.0431657269136985	0.522784080743407
F1_44	0.0401769964522117	0.0986771529523404	0.0928017812155269	0.0790131038696817	0	0.350416255340325
F1_45	0.11253696347838	0.154712881594626	0.17032162191886	0.173022588711643	0.0817734734076485	0.608928762487341
